locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJIGEHEJ_01508	CDS	348				hypothetical protein
IJIGEHEJ_01509	CDS	411				hypothetical protein
IJIGEHEJ_01510	CDS	741				hypothetical protein
IJIGEHEJ_01511	CDS	1434	bglH_2	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
IJIGEHEJ_01512	CDS	534				hypothetical protein
IJIGEHEJ_01513	tRNA	73				tRNA-Glu(ttc)
IJIGEHEJ_01514	tRNA	71				tRNA-Met(cat)
IJIGEHEJ_01515	CDS	528				hypothetical protein
IJIGEHEJ_01516	CDS	180				hypothetical protein
IJIGEHEJ_01517	CDS	264				hypothetical protein
IJIGEHEJ_01518	CDS	141				hypothetical protein
IJIGEHEJ_01519	CDS	807				IS3 family transposase ISWco1
IJIGEHEJ_01520	CDS	1530	mco_1	1.-.-.-		Multicopper oxidase mco
IJIGEHEJ_01521	CDS	1374	ribZ_3		COG2814	Riboflavin transporter RibZ
IJIGEHEJ_01522	CDS	366				hypothetical protein
IJIGEHEJ_01523	CDS	270				hypothetical protein
IJIGEHEJ_01524	CDS	120				hypothetical protein
IJIGEHEJ_01525	CDS	831	soj_2	3.6.4.-	COG1192	Sporulation initiation inhibitor protein Soj
IJIGEHEJ_01526	CDS	309				hypothetical protein
IJIGEHEJ_01527	CDS	171				hypothetical protein
IJIGEHEJ_01528	CDS	243				hypothetical protein
IJIGEHEJ_01529	CDS	615				hypothetical protein
IJIGEHEJ_01530	CDS	624	bin3_1			Putative transposon Tn552 DNA-invertase bin3
IJIGEHEJ_01531	CDS	333				DegV domain-containing protein
IJIGEHEJ_01532	CDS	438				hypothetical protein
IJIGEHEJ_01533	CDS	2037	kup_2			Low affinity potassium transport system protein Kup
IJIGEHEJ_01534	CDS	240				hypothetical protein
IJIGEHEJ_01535	CDS	786	soj_3	3.6.4.-	COG1192	Chromosome-partitioning ATPase Soj
IJIGEHEJ_01536	CDS	471			COG3039	IS5 family transposase ISCaa8
IJIGEHEJ_01537	CDS	321				hypothetical protein
IJIGEHEJ_01538	tRNA	74				tRNA-Arg(acg)
IJIGEHEJ_01539	tRNA	74				tRNA-Pro(tgg)
IJIGEHEJ_01540	tRNA	76				tRNA-Met(cat)
IJIGEHEJ_01541	tRNA	77				tRNA-Met(cat)
IJIGEHEJ_01542	tRNA	90				tRNA-Ser(tga)
IJIGEHEJ_01543	tRNA	71				tRNA-Met(cat)
IJIGEHEJ_01544	CDS	765				hypothetical protein
IJIGEHEJ_01545	CDS	1473	dtpT			Di-/tripeptide transporter
IJIGEHEJ_01546	tRNA	74				tRNA-Thr(cgt)
IJIGEHEJ_01547	tRNA	75				tRNA-Asn(gtt)
IJIGEHEJ_01548	CDS	384				hypothetical protein
IJIGEHEJ_01549	CDS	195				hypothetical protein
IJIGEHEJ_01550	CDS	531				hypothetical protein
IJIGEHEJ_01551	CDS	756		3.5.2.20	COG1878	Isatin hydrolase
IJIGEHEJ_01552	CDS	252				hypothetical protein
IJIGEHEJ_01553	CDS	1032			COG2826	IS30 family transposase ISCth3
IJIGEHEJ_01554	CDS	789	soj_4	3.6.4.-	COG1192	Sporulation initiation inhibitor protein Soj
IJIGEHEJ_01555	CDS	234				hypothetical protein
IJIGEHEJ_01556	CDS	138				hypothetical protein
IJIGEHEJ_01557	CDS	681				IS6 family transposase IS1297
IJIGEHEJ_01558	CDS	282				hypothetical protein
IJIGEHEJ_01559	CDS	129				hypothetical protein
IJIGEHEJ_01560	CDS	567				hypothetical protein
IJIGEHEJ_01561	CDS	1593	mntH_2			Divalent metal cation transporter MntH
IJIGEHEJ_01562	CDS	432				Putative universal stress protein
IJIGEHEJ_01563	CDS	603				hypothetical protein
IJIGEHEJ_01564	CDS	2424	nrdD_2	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
IJIGEHEJ_01565	CDS	1545				hypothetical protein
IJIGEHEJ_01566	CDS	390				hypothetical protein
IJIGEHEJ_01567	tRNA	76				tRNA-Val(tac)
IJIGEHEJ_01568	CDS	384				hypothetical protein
IJIGEHEJ_01569	CDS	1848	oatA_1	2.3.1.-	COG1835	O-acetyltransferase OatA
IJIGEHEJ_01570	CDS	255				hypothetical protein
IJIGEHEJ_01571	CDS	546				hypothetical protein
IJIGEHEJ_01572	CDS	183				hypothetical protein
IJIGEHEJ_01573	CDS	423				Alkaline shock protein 23
IJIGEHEJ_01574	CDS	441				Alkaline shock protein 23
IJIGEHEJ_01575	CDS	801				hypothetical protein
IJIGEHEJ_01576	CDS	930				hypothetical protein
IJIGEHEJ_01577	CDS	333				hypothetical protein
IJIGEHEJ_01578	CDS	573				hypothetical protein
IJIGEHEJ_01579	CDS	2535	pepN	3.4.11.2		Aminopeptidase N
IJIGEHEJ_01580	CDS	2871	hsdR_1	3.1.21.3		Type I restriction enzyme SauN315I endonuclease subunit
IJIGEHEJ_01581	CDS	1587	hsdM_1	2.1.1.72		Type I restriction enzyme EcoR124I/EcoR124II methylase subunit
IJIGEHEJ_01582	CDS	1173				hypothetical protein
IJIGEHEJ_01583	CDS	918	xerC_5			Tyrosine recombinase XerC
IJIGEHEJ_01584	CDS	621				hypothetical protein
IJIGEHEJ_01585	CDS	180				hypothetical protein
IJIGEHEJ_01586	CDS	108				hypothetical protein
IJIGEHEJ_01587	CDS	231				hypothetical protein
IJIGEHEJ_01588	CDS	327				hypothetical protein
IJIGEHEJ_01589	CDS	909				hypothetical protein
IJIGEHEJ_01590	CDS	339			COG3039	IS5 family transposase ISCaa8
IJIGEHEJ_01591	CDS	309				hypothetical protein
IJIGEHEJ_01592	CDS	108				hypothetical protein
IJIGEHEJ_01593	CDS	348				hypothetical protein
IJIGEHEJ_01594	CDS	801			COG1192	putative protein
IJIGEHEJ_01595	CDS	1893	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
IJIGEHEJ_01596	CDS	216				hypothetical protein
IJIGEHEJ_01597	CDS	1125				hypothetical protein
IJIGEHEJ_01598	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
IJIGEHEJ_01599	CDS	1239	glyA	2.1.2.1		Serine hydroxymethyltransferase
IJIGEHEJ_01600	CDS	1020	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
IJIGEHEJ_01601	CDS	867	prmC	2.1.1.297		Release factor glutamine methyltransferase
IJIGEHEJ_01602	CDS	1083	prfA		COG0216	Peptide chain release factor 1
IJIGEHEJ_01603	CDS	588	tdk	2.7.1.21	COG1435	Thymidine kinase
IJIGEHEJ_01604	CDS	1347	murT	6.3.5.13	COG0770	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
IJIGEHEJ_01605	CDS	723	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
IJIGEHEJ_01606	CDS	966	yvyI	5.3.1.8	COG1482	Putative mannose-6-phosphate isomerase YvyI
IJIGEHEJ_01607	CDS	1020	yfeW_1	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
IJIGEHEJ_01608	CDS	186				hypothetical protein
IJIGEHEJ_01609	CDS	1029	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
IJIGEHEJ_01610	CDS	330				hypothetical protein
IJIGEHEJ_01611	CDS	972				hypothetical protein
IJIGEHEJ_01612	CDS	1890		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
IJIGEHEJ_01613	CDS	1731			COG1132	putative ABC transporter ATP-binding protein
IJIGEHEJ_01614	CDS	393				hypothetical protein
IJIGEHEJ_01615	CDS	849				hypothetical protein
IJIGEHEJ_01616	CDS	159				hypothetical protein
IJIGEHEJ_01617	tRNA	73				tRNA-Glu(ctc)
IJIGEHEJ_01618	CDS	207				hypothetical protein
IJIGEHEJ_01619	tRNA	75				tRNA-Gln(ctg)
IJIGEHEJ_01620	CDS	306				hypothetical protein
IJIGEHEJ_01621	CDS	1371			COG3385	IS4 family transposase IS1675
IJIGEHEJ_01622	CDS	660				hypothetical protein
IJIGEHEJ_01623	CDS	363				hypothetical protein
IJIGEHEJ_01624	CDS	339				hypothetical protein
IJIGEHEJ_01625	CDS	615				hypothetical protein
IJIGEHEJ_01626	CDS	294				hypothetical protein
IJIGEHEJ_01627	CDS	1653				hypothetical protein
IJIGEHEJ_01628	CDS	1011	ganR_1		COG1609	HTH-type transcriptional regulator GanR
IJIGEHEJ_01629	CDS	1953				hypothetical protein
IJIGEHEJ_01630	CDS	1278				hypothetical protein
IJIGEHEJ_01631	CDS	1578				hypothetical protein
IJIGEHEJ_01632	CDS	1278	csbC		COG2814	putative metabolite transport protein CsbC
IJIGEHEJ_01633	CDS	987	rhaS			HTH-type transcriptional activator RhaS
IJIGEHEJ_01634	CDS	600	vbhT	2.7.7.108		Protein adenylyltransferase VbhT
IJIGEHEJ_01635	CDS	447				hypothetical protein
IJIGEHEJ_01636	CDS	1002	ganR_2		COG1609	HTH-type transcriptional regulator GanR
IJIGEHEJ_01637	CDS	1464	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
IJIGEHEJ_01638	CDS	1005	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
IJIGEHEJ_01639	CDS	972	galK_2	2.7.1.6	COG0153	Galactokinase
IJIGEHEJ_01640	CDS	402				hypothetical protein
IJIGEHEJ_01641	CDS	1380	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
IJIGEHEJ_01642	CDS	693				hypothetical protein
IJIGEHEJ_01643	CDS	132				hypothetical protein
IJIGEHEJ_01644	CDS	501				hypothetical protein
IJIGEHEJ_01645	CDS	897				hypothetical protein
IJIGEHEJ_01646	CDS	222				hypothetical protein
IJIGEHEJ_01647	CDS	444				Putative universal stress protein
IJIGEHEJ_01648	CDS	570	maa_4	2.3.1.79	COG0110	Maltose O-acetyltransferase
IJIGEHEJ_01649	CDS	684	pynA	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase PynA
IJIGEHEJ_01650	CDS	354				hypothetical protein
IJIGEHEJ_01651	CDS	210				hypothetical protein
IJIGEHEJ_01652	CDS	594				hypothetical protein
IJIGEHEJ_01653	CDS	1173	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
IJIGEHEJ_01654	CDS	867				hypothetical protein
IJIGEHEJ_01655	CDS	1029	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
IJIGEHEJ_01656	CDS	129				hypothetical protein
IJIGEHEJ_01657	CDS	1788	yheH	7.6.2.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
IJIGEHEJ_01658	CDS	1752	yheI	7.6.2.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
IJIGEHEJ_01659	CDS	1395	ribZ_4		COG2814	Riboflavin transporter RibZ
IJIGEHEJ_01660	CDS	225				hypothetical protein
IJIGEHEJ_01661	CDS	552				hypothetical protein
IJIGEHEJ_01662	CDS	3315	smc_6			Chromosome partition protein Smc
IJIGEHEJ_01663	CDS	621				hypothetical protein
IJIGEHEJ_01664	CDS	330				hypothetical protein
IJIGEHEJ_01665	CDS	1155			COG0628	Putative transport protein
IJIGEHEJ_01666	CDS	360				hypothetical protein
IJIGEHEJ_01667	CDS	1020	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
IJIGEHEJ_01668	CDS	639	cutC		COG3142	PF03932 family protein CutC
IJIGEHEJ_01669	CDS	903	rluD_2	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
IJIGEHEJ_01670	CDS	804	nadK	2.7.1.23		NAD kinase
IJIGEHEJ_01671	CDS	663	yjbM	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
IJIGEHEJ_01672	CDS	636	spxH		COG2761	ClpXP adapter protein SpxH
IJIGEHEJ_01673	CDS	1812	pepF	3.4.24.-	COG1164	Oligopeptidase PepF
IJIGEHEJ_01674	CDS	1086				hypothetical protein
IJIGEHEJ_01675	CDS	732	mecA		COG4862	Adapter protein MecA 1
IJIGEHEJ_01676	CDS	399	spx_3		COG1393	Global transcriptional regulator Spx
IJIGEHEJ_01677	CDS	744			COG1234	putative protein
IJIGEHEJ_01678	CDS	501	hmoB	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoB
IJIGEHEJ_01679	tRNA	74				tRNA-Asp(gtc)
IJIGEHEJ_01680	CDS	510				hypothetical protein
IJIGEHEJ_01681	CDS	819				hypothetical protein
IJIGEHEJ_01682	CDS	225				hypothetical protein
IJIGEHEJ_01683	CDS	627	mupP_2	3.1.3.105		N-acetylmuramic acid 6-phosphate phosphatase
IJIGEHEJ_01684	CDS	1191	dapX_1	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
IJIGEHEJ_01685	CDS	993	ldhA	1.1.1.345		D-2-hydroxyacid dehydrogenase (NAD(+))
IJIGEHEJ_01686	CDS	252				hypothetical protein
IJIGEHEJ_01687	CDS	156				hypothetical protein
IJIGEHEJ_01688	CDS	741	glnQ_2			Glutamine transport ATP-binding protein GlnQ
IJIGEHEJ_01689	CDS	837	glnH_2		COG0834	ABC transporter glutamine-binding protein GlnH
IJIGEHEJ_01690	CDS	642	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
IJIGEHEJ_01691	CDS	654	glnP		COG0765	putative glutamine ABC transporter permease protein GlnP
IJIGEHEJ_01692	CDS	660	mobA			Mobilization protein A
IJIGEHEJ_01693	CDS	606	rfbP_1	2.7.8.6		Undecaprenyl-phosphate galactose phosphotransferase
IJIGEHEJ_01694	CDS	837	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
IJIGEHEJ_01695	CDS	1029	rmlB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
IJIGEHEJ_01696	CDS	582	rfbC	5.1.3.13		dTDP-4-dehydrorhamnose 3,5-epimerase
IJIGEHEJ_01697	CDS	870	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
IJIGEHEJ_01698	CDS	789	ywqE_2	3.1.3.48	COG4464	Tyrosine-protein phosphatase YwqE
IJIGEHEJ_01699	CDS	729	ywqD_2	2.7.10.2	COG0489	Tyrosine-protein kinase YwqD
IJIGEHEJ_01700	CDS	771				hypothetical protein
IJIGEHEJ_01701	CDS	108				hypothetical protein
IJIGEHEJ_01702	CDS	279	waaB	2.4.1.-	COG0438	Lipopolysaccharide 1,6-galactosyltransferase
IJIGEHEJ_01703	CDS	2370				hypothetical protein
IJIGEHEJ_01704	CDS	648				hypothetical protein
IJIGEHEJ_01705	CDS	369				hypothetical protein
IJIGEHEJ_01706	CDS	651	nfnB	1.-.-.-	COG0778	Nitroreductase NfnB
IJIGEHEJ_01707	CDS	633				hypothetical protein
IJIGEHEJ_01708	CDS	1428	calB	1.2.1.68		Coniferyl aldehyde dehydrogenase
IJIGEHEJ_01709	CDS	576	betI_2			HTH-type transcriptional regulator BetI
IJIGEHEJ_01710	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
IJIGEHEJ_01711	CDS	1263	htrA	3.4.21.107	COG0265	Serine protease Do-like HtrA
IJIGEHEJ_01712	CDS	816	walJ	3.1.11.-	COG1235	Exodeoxyribonuclease WalJ
IJIGEHEJ_01713	CDS	855	yycI		COG4853	Two-component system WalR/WalK regulatory protein YycI
IJIGEHEJ_01714	CDS	1326				hypothetical protein
IJIGEHEJ_01715	CDS	1875	walK	2.7.13.3	COG5002	Sensor histidine kinase WalK
IJIGEHEJ_01716	CDS	708	walR		COG0745	Transcriptional regulatory protein WalR
IJIGEHEJ_01717	tRNA	76				tRNA-Lys(ctt)
IJIGEHEJ_01718	CDS	231				hypothetical protein
IJIGEHEJ_01719	CDS	201	cspL_2		COG1278	Cold shock protein 2
IJIGEHEJ_01720	CDS	882		2.7.1.223		Aminoimidazole riboside kinase
IJIGEHEJ_01721	CDS	1362				hypothetical protein
IJIGEHEJ_01722	CDS	999				hypothetical protein
IJIGEHEJ_01723	CDS	546	pncA_2	3.5.1.19	COG1335	Nicotinamidase
IJIGEHEJ_01724	CDS	1431	pncB_1	6.3.4.21		Nicotinate phosphoribosyltransferase
IJIGEHEJ_01725	CDS	717			COG1051	ADPR responsive transcriptional repressor NtrR
IJIGEHEJ_01726	CDS	297				hypothetical protein
IJIGEHEJ_01727	CDS	1845				hypothetical protein
IJIGEHEJ_01728	CDS	930				hypothetical protein
IJIGEHEJ_01729	CDS	252				IS3 family transposase IS153
IJIGEHEJ_01730	CDS	177				hypothetical protein
IJIGEHEJ_01731	CDS	399				hypothetical protein
IJIGEHEJ_01732	CDS	1485	crtN_2	1.3.8.-		4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)
IJIGEHEJ_01733	CDS	879	crtB	2.5.1.32	COG1562	15-cis-phytoene synthase
IJIGEHEJ_01734	CDS	1047				hypothetical protein
IJIGEHEJ_01735	CDS	672	hrtA_1	7.6.2.-		Putative hemin import ATP-binding protein HrtA
IJIGEHEJ_01736	CDS	567	ydeA	3.2.-.-	COG0693	putative protease YdeA
IJIGEHEJ_01737	CDS	609				hypothetical protein
IJIGEHEJ_01738	CDS	1494				hypothetical protein
IJIGEHEJ_01739	CDS	366				hypothetical protein
IJIGEHEJ_01740	CDS	711	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
IJIGEHEJ_01741	CDS	252				hypothetical protein
IJIGEHEJ_01742	CDS	738	ubiE	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
IJIGEHEJ_01743	CDS	693	gpmA_2	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IJIGEHEJ_01744	CDS	1074				hypothetical protein
IJIGEHEJ_01745	CDS	1155	nanK	2.7.1.60		N-acetylmannosamine kinase
IJIGEHEJ_01746	CDS	1038				hypothetical protein
IJIGEHEJ_01747	CDS	1194	cfa_2	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
IJIGEHEJ_01748	CDS	915				hypothetical protein
IJIGEHEJ_01749	CDS	1065				hypothetical protein
IJIGEHEJ_01750	CDS	363				hypothetical protein
IJIGEHEJ_01751	CDS	309				hypothetical protein
IJIGEHEJ_01752	CDS	435				hypothetical protein
IJIGEHEJ_01753	CDS	360				hypothetical protein
IJIGEHEJ_01754	CDS	723				hypothetical protein
IJIGEHEJ_01755	CDS	351				hypothetical protein
IJIGEHEJ_01756	CDS	765				hypothetical protein
IJIGEHEJ_01757	CDS	498	ywnH	2.3.1.183	COG1247	Putative phosphinothricin acetyltransferase YwnH
IJIGEHEJ_01758	CDS	1335	dacA_1	3.4.16.4		D-alanyl-D-alanine carboxypeptidase DacA
IJIGEHEJ_01759	CDS	1161	sasA_3	2.7.13.3		Adaptive-response sensory-kinase SasA
IJIGEHEJ_01760	CDS	690	vanRc			Regulatory protein VanRc
IJIGEHEJ_01761	CDS	690				hypothetical protein
IJIGEHEJ_01762	CDS	930	prsA_1	5.2.1.8		Foldase protein PrsA
IJIGEHEJ_01763	CDS	1152	guaB	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
IJIGEHEJ_01764	CDS	726				hypothetical protein
IJIGEHEJ_01765	CDS	1101	ychF		COG0012	Ribosome-binding ATPase YchF
IJIGEHEJ_01766	CDS	192				hypothetical protein
IJIGEHEJ_01767	CDS	891	spo0J		COG1475	Stage 0 sporulation protein J
IJIGEHEJ_01768	CDS	768	soj_5	3.6.4.-	COG1192	Sporulation initiation inhibitor protein Soj
IJIGEHEJ_01769	CDS	852	noc		COG1475	Nucleoid occlusion protein
IJIGEHEJ_01770	CDS	735	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
IJIGEHEJ_01771	CDS	1284	nupG		COG1972	Purine nucleoside transport protein NupG
IJIGEHEJ_01772	CDS	1791				hypothetical protein
IJIGEHEJ_01773	CDS	492				hypothetical protein
IJIGEHEJ_01774	CDS	843	bglG		COG3711	Cryptic beta-glucoside bgl operon antiterminator
IJIGEHEJ_01775	CDS	1452	sacP		COG1263	PTS system sucrose-specific EIIBC component
IJIGEHEJ_01776	CDS	759		3.5.1.-	COG3394	Carbohydrate deacetylase
IJIGEHEJ_01777	CDS	1332	steT		COG0531	Serine/threonine exchanger SteT
IJIGEHEJ_01778	CDS	441	ohrR		COG1846	Organic hydroperoxide resistance transcriptional regulator
IJIGEHEJ_01779	CDS	879				hypothetical protein
IJIGEHEJ_01780	CDS	432				hypothetical protein
IJIGEHEJ_01781	CDS	1155	yhhS		COG0477	putative MFS-type transporter YhhS
IJIGEHEJ_01782	CDS	519				hypothetical protein
IJIGEHEJ_01783	CDS	561				hypothetical protein
IJIGEHEJ_01784	CDS	1296	hflX		COG2262	GTPase HflX
IJIGEHEJ_01785	CDS	438	rppH_2	3.6.1.-		RNA pyrophosphohydrolase
IJIGEHEJ_01786	CDS	315	gdx		COG2076	Guanidinium exporter
IJIGEHEJ_01787	CDS	201				hypothetical protein
IJIGEHEJ_01788	CDS	678	gpmA_3	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IJIGEHEJ_01789	CDS	657	cobC_2	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
IJIGEHEJ_01790	CDS	1857	kefB			Glutathione-regulated potassium-efflux system protein KefB
IJIGEHEJ_01791	CDS	954				hypothetical protein
IJIGEHEJ_01792	CDS	648	dedA_1		COG0586	Protein DedA
IJIGEHEJ_01793	CDS	2307	helD_1	3.6.4.12	COG3973	DNA helicase IV
IJIGEHEJ_01794	CDS	930		1.6.5.9		NADH:quinone reductase
IJIGEHEJ_01795	CDS	930	coaA	2.7.1.33		Pantothenate kinase
IJIGEHEJ_01796	CDS	1557	guaA_1	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
IJIGEHEJ_01797	CDS	369				hypothetical protein
IJIGEHEJ_01798	CDS	369				hypothetical protein
IJIGEHEJ_01799	CDS	561				hypothetical protein
IJIGEHEJ_01800	CDS	2394				hypothetical protein
IJIGEHEJ_01801	CDS	693				hypothetical protein
IJIGEHEJ_01802	CDS	2505	smc_7			Chromosome partition protein Smc
IJIGEHEJ_01803	CDS	243				hypothetical protein
IJIGEHEJ_01804	CDS	408	yugI		COG1098	General stress protein 13
IJIGEHEJ_01805	CDS	585				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
IJIGEHEJ_01806	CDS	657	dedA_2		COG0586	Protein DedA
IJIGEHEJ_01807	CDS	642				hypothetical protein
IJIGEHEJ_01808	CDS	792	yutF	3.1.3.5	COG0647	5'-nucleotidase YutF
IJIGEHEJ_01809	CDS	630				hypothetical protein
IJIGEHEJ_01810	CDS	1392	mggB	3.1.3.-	COG0737	Mannosylglucosyl-3-phosphoglycerate phosphatase
IJIGEHEJ_01811	CDS	318				hypothetical protein
IJIGEHEJ_01812	CDS	234				hypothetical protein
IJIGEHEJ_01813	CDS	1386	cycA_2		COG1113	D-serine/D-alanine/glycine transporter
IJIGEHEJ_01814	CDS	1194	ackA_2	2.7.2.1	COG0282	Acetate kinase
IJIGEHEJ_01815	CDS	1095				hypothetical protein
IJIGEHEJ_01816	CDS	165				hypothetical protein
IJIGEHEJ_01817	CDS	489				hypothetical protein
IJIGEHEJ_01818	CDS	213				hypothetical protein
IJIGEHEJ_01819	CDS	471				hypothetical protein
IJIGEHEJ_01820	CDS	357	comGC		COG4537	Competence protein ComGC
IJIGEHEJ_01821	CDS	861				hypothetical protein
IJIGEHEJ_01822	CDS	222				hypothetical protein
IJIGEHEJ_01823	CDS	975	comGA		COG2804	Competence protein ComGA
IJIGEHEJ_01824	CDS	921	rbsK	2.7.1.15		Ribokinase
IJIGEHEJ_01825	CDS	729			COG0217	putative transcriptional regulatory protein
IJIGEHEJ_01826	CDS	321				hypothetical protein
IJIGEHEJ_01827	CDS	873				hypothetical protein
IJIGEHEJ_01828	CDS	1011	ccpA_2		COG1609	Catabolite control protein A
IJIGEHEJ_01829	CDS	1110	pepQ	3.4.13.9		Xaa-Pro dipeptidase
IJIGEHEJ_01830	CDS	462			COG0789	putative HTH-type transcriptional regulator
IJIGEHEJ_01831	CDS	513				hypothetical protein
IJIGEHEJ_01832	CDS	417				hypothetical protein
IJIGEHEJ_01833	CDS	894	ykuT		COG0668	putative MscS family protein YkuT
IJIGEHEJ_01834	CDS	1155		3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
IJIGEHEJ_01835	CDS	711	dapH	2.3.1.89	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
IJIGEHEJ_01836	CDS	492	darB		COG0517	Cyclic di-AMP receptor B
IJIGEHEJ_01837	CDS	519				hypothetical protein
IJIGEHEJ_01838	CDS	609		3.6.1.66		dITP/XTP pyrophosphatase
IJIGEHEJ_01839	CDS	822	murI	5.1.1.3	COG0796	Glutamate racemase
IJIGEHEJ_01840	CDS	684				hypothetical protein
IJIGEHEJ_01841	CDS	312	trxA_3		COG3118	Thioredoxin
IJIGEHEJ_01842	CDS	2364	mutSB	3.6.4.-	COG1193	Putative endonuclease MutS2
IJIGEHEJ_01843	CDS	258	zapA			Cell division protein ZapA
IJIGEHEJ_01844	CDS	297				hypothetical protein
IJIGEHEJ_01845	CDS	435	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
IJIGEHEJ_01846	CDS	270				hypothetical protein
IJIGEHEJ_01847	CDS	2643	alaS	6.1.1.7		Alanine--tRNA ligase
IJIGEHEJ_01848	CDS	1344	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
IJIGEHEJ_01849	CDS	957	nrnA_2	3.1.-.-	COG0618	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
IJIGEHEJ_01850	CDS	1134	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
IJIGEHEJ_01851	CDS	384				hypothetical protein
IJIGEHEJ_01852	CDS	1143	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
IJIGEHEJ_01853	CDS	1035	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
IJIGEHEJ_01854	CDS	1011	ruvB	3.6.4.-	COG2255	Holliday junction branch migration complex subunit RuvB
IJIGEHEJ_01855	CDS	612	ruvA		COG0632	Holliday junction branch migration complex subunit RuvA
IJIGEHEJ_01856	CDS	522				hypothetical protein
IJIGEHEJ_01857	CDS	3069				hypothetical protein
IJIGEHEJ_01858	CDS	399				hypothetical protein
IJIGEHEJ_01859	CDS	1773	ade	3.5.4.2	COG1001	Adenine deaminase
IJIGEHEJ_01860	CDS	1353	pbuG_1		COG2252	Guanine/hypoxanthine permease PbuG
IJIGEHEJ_01861	CDS	1041		3.5.4.2		Adenine deaminase
IJIGEHEJ_01862	CDS	171				hypothetical protein
IJIGEHEJ_01863	CDS	222	ahpC	1.11.1.26	COG0450	Alkyl hydroperoxide reductase C
IJIGEHEJ_01864	CDS	1125				hypothetical protein
IJIGEHEJ_01865	CDS	189				hypothetical protein
IJIGEHEJ_01866	CDS	2136	topB_2	5.6.2.1	COG0550	DNA topoisomerase 3
IJIGEHEJ_01867	CDS	411				hypothetical protein
IJIGEHEJ_01868	CDS	882	cynR_3		COG0583	HTH-type transcriptional regulator CynR
IJIGEHEJ_01869	CDS	1785				hypothetical protein
IJIGEHEJ_01870	CDS	1416	yflS_3		COG0471	Putative malate transporter YflS
IJIGEHEJ_01871	CDS	210				hypothetical protein
IJIGEHEJ_01872	CDS	426				hypothetical protein
IJIGEHEJ_01873	CDS	285				hypothetical protein
IJIGEHEJ_01874	CDS	213				hypothetical protein
IJIGEHEJ_01875	CDS	2064				hypothetical protein
IJIGEHEJ_01876	CDS	315				hypothetical protein
